,@publicID,preferredOriginID,author,region,originID,orig_time,mag,lat,lon,z,lat_e,lon_e,z_e,min_dis,phasecount,stationcount,mag_e,t_e
0,texnet2022oxiu,Origin/20230315200750.407005.47765,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230315200750.407005.47765,2022-08-01 00:03:43.394477+00:00,0.7298839734,31.68340683,-104.4165802,5.0,5.359890938,2.592060089,fixed,0.07327495515,8.0,5.0,0.596926492,0.9852458738
1,texnet2022oxiv,Origin/20230315200751.39082.50191,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230315200751.39082.50191,2022-08-01 00:04:41.778152+00:00,1.258873629,31.61402321,-104.3769226,4.180883884,2.820557833,1.669458032,2.045338154,0.1114775091,16.0,8.0,0.09456672158,0.1272231954
2,texnet2022oxix,Origin/20230315200754.287772.59237,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230315200754.287772.59237,2022-08-01 00:07:55.559122+00:00,1.033306958,31.69036293,-104.4796295,6.486926079,2.407546759,2.308516979,5.937174797,0.0281762518,8.0,4.0,0.426582096,0.7358815093
3,texnet2022oxiw,Origin/20230315200754.214206.58820,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230315200754.214206.58820,2022-08-01 00:06:18.973199+00:00,0.7462976319,31.60977364,-104.1156464,3.38558197,2.188903809,2.97614336,2.496340275,0.09127995372,9.0,5.0,0.2663774484,0.2218782686
4,texnet2022oxiy,Origin/20230315200754.248069.59017,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230315200754.248069.59017,2022-08-01 00:08:49.797598+00:00,0.6539715109,31.70241165,-104.4785995,7.998166084,2.48495841,2.168958902,6.083287239,0.03861191496,8.0,4.0,0.3784964298,0.7670238961
5,texnet2022oxjd,Origin/20230315200756.867296.66561,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230315200756.867296.66561,2022-08-01 00:14:40.683641+00:00,1.32004414,31.60608673,-104.0931549,4.656510353,2.715762615,1.82448554,2.354531527,0.07840197533,14.0,8.0,0.2587032351,0.08707183129
6,texnet2022oxje,Origin/20230315200756.985809.67179,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230315200756.985809.67179,2022-08-01 00:16:05.702196+00:00,0.976131457,31.60472298,-104.1001053,3.623321533,1.601383209,1.714294434,1.738025069,0.07991936803,18.0,9.0,0.2559902543,0.3473516209
7,texnet2022oxjo,Origin/20230315200800.793858.75396,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230315200800.793858.75396,2022-08-01 00:27:31.591738+00:00,1.044199065,31.60530281,-104.0871124,5.257788181,1.717914343,1.738738298,4.226078987,0.07562319934,16.0,9.0,0.2131740908,0.2715765152
8,texnet2022oxjt,Origin/20230315200801.474291.78470,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230315200801.474291.78470,2022-08-01 00:33:14.345880+00:00,1.207536195,31.67476082,-104.5023041,4.288210869,2.068933487,3.365920305,2.491651535,0.00624066731,8.0,4.0,0.371210815,0.2961642238
9,texnet2022oxjw,Origin/20230315200801.504889.78616,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230315200801.504889.78616,2022-08-01 00:37:07.159098+00:00,1.457217486,31.6587162,-104.5498505,1.241512656,5.504899979,12.06956577,7.269201756,0.04300466552,11.0,7.0,0.2585038975,0.5637009286
10,texnet2022oxkr,Origin/20230315200802.558867.82313,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230315200802.558867.82313,2022-08-01 01:00:56.096906+00:00,0.7728403781,31.49292374,-104.2564545,5.0,4.887573242,4.584079742,fixed,0.1778706759,10.0,6.0,0.2245088046,0.676961788
11,texnet2022oxkv,Origin/20230315200802.584102.82526,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230315200802.584102.82526,2022-08-01 01:06:03.952388+00:00,0.8576536502,31.51503754,-104.3834152,5.0,3.214236498,2.773889065,fixed,0.1829747707,10.0,5.0,0.2999398162,0.6670623872
12,texnet2022oxlc,Origin/20230315200802.902655.83702,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230315200802.902655.83702,2022-08-01 01:13:58.575432+00:00,0.6625321301,31.46994972,-104.368576,5.0,4.796147346,3.461167812,fixed,0.2196787,8.0,4.0,0.1372887338,0.8562888155
13,texnet2022oxle,Origin/20230315200803.320017.84959,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230315200803.320017.84959,2022-08-01 01:16:35.786175+00:00,1.418945772,31.66955948,-104.4162369,3.986024618,3.344777107,1.638875723,2.367374897,0.07208465785,10.0,5.0,0.2462364158,0.1204523618
14,texnet2022oxlr,Origin/20230315200803.542992.85685,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230315200803.542992.85685,2022-08-01 01:32:09.845574+00:00,0.6960704184,31.68502998,-104.4198456,13.4724474,5.077544689,1.960901737,9.145517349,0.07090464979,6.0,4.0,0.7056975693,0.6210304039
15,texnet2022oxlv,Origin/20230315200803.701154.86688,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230315200803.701154.86688,2022-08-01 01:36:49.152759+00:00,1.57188882,31.65453339,-104.3401413,3.64097333,2.513303518,1.343164802,1.792180181,0.06638519466,19.0,10.0,0.1353325038,0.3077394138
16,texnet2022oxlx,Origin/20230315200803.753421.87155,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230315200803.753421.87155,2022-08-01 01:38:34.154107+00:00,1.327196325,31.70103073,-104.4793625,4.243217945,2.301261425,1.904856682,2.490228653,0.03709322587,9.0,5.0,0.5627960103,0.195158524
17,texnet2022oxmd,Origin/20230315200803.868937.87583,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230315200803.868937.87583,2022-08-01 01:45:21.576703+00:00,0.481905468,31.6930027,-104.435463,3.207434654,3.568845272,1.670987606,2.52426219,0.06074572355,8.0,4.0,0.5899431087,0.8120935702
18,texnet2022oxmm,Origin/20230315200804.156975.88753,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230315200804.156975.88753,2022-08-01 01:56:06.481503+00:00,0.7103559426,31.65973663,-104.3292236,3.499056339,2.70355916,1.722761273,2.344156742,0.0561154969,11.0,6.0,0.2888469102,0.09494472558
19,texnet2022oxmo,Origin/20230315200804.166801.88861,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230315200804.166801.88861,2022-08-01 01:58:22.055566+00:00,0.4963820332,31.69741249,-104.4684982,9.284012794,2.872705221,2.435810089,6.799170017,0.03974712268,7.0,4.0,0.2849833507,0.4244099987
20,texnet2022oxmx,Origin/20230315200804.659436.90672,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230315200804.659436.90672,2022-08-01 02:08:27.617750+00:00,1.092204476,31.69682121,-104.4824448,3.877764702,2.23023057,1.92242825,2.27992034,0.03214761615,10.0,5.0,0.4278384528,0.2493248011
21,texnet2022oxna,Origin/20230315200804.701362.90958,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230315200804.701362.90958,2022-08-01 02:12:35.542496+00:00,0.6703137079,31.68172073,-104.3086548,3.246634007,3.778892517,2.105657339,2.908069611,0.03863739967,7.0,4.0,0.5950834177,0.364783293
22,texnet2022oxnd,Origin/20230315200805.880023.94211,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230315200805.880023.94211,2022-08-01 02:15:45.299836+00:00,0.876422198,31.72471046,-104.1874313,0.9485453963,2.144272327,1.651626945,2.09382391,0.04545984417,12.0,6.0,0.1974370512,0.8364822157
23,texnet2022oxne,Origin/20230315200806.425406.95799,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230315200806.425406.95799,2022-08-01 02:17:17.659085+00:00,0.5747221751,31.57847595,-104.3220673,46.23374939,8.020536423,8.984959602,15.70149803,0.1048973203,6.0,4.0,0.7405099133,0.304661919
24,texnet2022oxnh,Origin/20230315200806.465355.96000,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230315200806.465355.96000,2022-08-01 02:20:32.782186+00:00,0.2752984249,31.59758759,-104.3648453,4.219740391,19.19000816,2.822859526,6.870472908,0.1127692014,6.0,4.0,0.09327350641,0.3088119705
25,texnet2022oxni,Origin/20230315200806.677346.96583,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230315200806.677346.96583,2022-08-01 02:21:16.275133+00:00,0.8593606459,31.60906029,-104.13414,2.955347538,2.283939362,2.203280926,2.569448709,0.1006752551,9.0,6.0,0.1559638129,0.5917137761
26,texnet2022oxnm,Origin/20230315200808.207853.100904,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230315200808.207853.100904,2022-08-01 02:26:09.296419+00:00,2.13384757,31.72055244,-104.5718689,3.037571907,2.861730337,7.27664423,3.065830231,0.05864664167,17.0,9.0,0.2955444873,0.4434107727
